userId,movieId,rating,timestamp,title
1,31,2.5,1260759144,Dangerous Minds
7,31,3.0,851868750,Dangerous Minds
31,31,4.0,1273541953,Dangerous Minds
32,31,4.0,834828440,Dangerous Minds
36,31,3.0,847057202,Dangerous Minds
39,31,3.0,832525157,Dangerous Minds
73,31,3.5,1255591860,Dangerous Minds
88,31,3.0,1239755559,Dangerous Minds
96,31,2.5,1223256331,Dangerous Minds
110,31,4.0,840100695,Dangerous Minds
111,31,3.5,1097429230,Dangerous Minds
150,31,2.5,1130905954,Dangerous Minds
161,31,3.0,837629820,Dangerous Minds
165,31,3.5,1111981801,Dangerous Minds
186,31,3.0,1276205768,Dangerous Minds
242,31,4.0,956686556,Dangerous Minds
254,31,3.0,845157538,Dangerous Minds
288,31,3.0,845862722,Dangerous Minds
310,31,1.5,1414188058,Dangerous Minds
311,31,3.0,898007906,Dangerous Minds
325,31,4.5,1356316520,Dangerous Minds
338,31,3.0,841656923,Dangerous Minds
341,31,4.5,1240055463,Dangerous Minds
386,31,2.0,1047028867,Dangerous Minds
394,31,2.0,1297524887,Dangerous Minds
452,31,2.5,1077114665,Dangerous Minds
457,31,1.5,1471385561,Dangerous Minds
461,31,2.0,1091959143,Dangerous Minds
468,31,1.5,1296193889,Dangerous Minds
485,31,4.0,1337748425,Dangerous Minds
487,31,5.0,832836558,Dangerous Minds
496,31,4.0,834060152,Dangerous Minds
511,31,4.0,829352433,Dangerous Minds
516,31,4.0,844687388,Dangerous Minds
525,31,4.0,1024928582,Dangerous Minds
590,31,3.0,848677861,Dangerous Minds
596,31,3.0,1138705152,Dangerous Minds
601,31,3.0,1270253462,Dangerous Minds
607,31,3.5,1118248028,Dangerous Minds
619,31,3.0,831923897,Dangerous Minds
639,31,3.0,832451040,Dangerous Minds
641,31,4.0,841551303,Dangerous Minds
1,1029,3.0,1260759179,Dumbo
19,1029,5.0,855192033,Dumbo
35,1029,1.5,1174450070,Dumbo
61,1029,2.5,1216487645,Dumbo
73,1029,3.0,1256030424,Dumbo
99,1029,3.0,938587916,Dumbo
102,1029,5.0,958250063,Dumbo
128,1029,4.0,1049691020,Dumbo
175,1029,4.0,1052835824,Dumbo
